Geo_id,Geo_id_type,Positive,Total,Deaths,Update_time,Source_geo
94702,ZCTA,17,NA,NA,2020-05-22,Alameda County
94703,ZCTA,28,NA,NA,2020-05-22,Alameda County
94704,ZCTA,10,NA,NA,2020-05-22,Alameda County
94705,ZCTA,0,NA,NA,2020-05-22,Alameda County
94707,ZCTA,0,NA,NA,2020-05-22,Alameda County
94708,ZCTA,0,NA,NA,2020-05-22,Alameda County
94709,ZCTA,0,NA,NA,2020-05-22,Alameda County
94710,ZCTA,0,NA,NA,2020-05-22,Alameda County
94720,ZCTA,0,NA,NA,2020-05-22,Alameda County
94501,ZCTA,36,NA,NA,2020-05-22,Alameda County
94502,ZCTA,0,NA,NA,2020-05-22,Alameda County
94536,ZCTA,41,NA,NA,2020-05-22,Alameda County
94538,ZCTA,59,NA,NA,2020-05-22,Alameda County
94539,ZCTA,25,NA,NA,2020-05-22,Alameda County
94541,ZCTA,196,NA,NA,2020-05-22,Alameda County
94542,ZCTA,30,NA,NA,2020-05-22,Alameda County
94544,ZCTA,347,NA,NA,2020-05-22,Alameda County
94545,ZCTA,79,NA,NA,2020-05-22,Alameda County
94546,ZCTA,82,NA,NA,2020-05-22,Alameda County
94550,ZCTA,26,NA,NA,2020-05-22,Alameda County
94551,ZCTA,19,NA,NA,2020-05-22,Alameda County
94552,ZCTA,12,NA,NA,2020-05-22,Alameda County
94555,ZCTA,23,NA,NA,2020-05-22,Alameda County
94560,ZCTA,81,NA,NA,2020-05-22,Alameda County
94566,ZCTA,38,NA,NA,2020-05-22,Alameda County
94568,ZCTA,79,NA,NA,2020-05-22,Alameda County
94577,ZCTA,79,NA,NA,2020-05-22,Alameda County
94578,ZCTA,84,NA,NA,2020-05-22,Alameda County
94579,ZCTA,26,NA,NA,2020-05-22,Alameda County
94580,ZCTA,49,NA,NA,2020-05-22,Alameda County
94587,ZCTA,106,NA,NA,2020-05-22,Alameda County
94588,ZCTA,20,NA,NA,2020-05-22,Alameda County
94601,ZCTA,230,NA,NA,2020-05-22,Alameda County
94602,ZCTA,35,NA,NA,2020-05-22,Alameda County
